toi,tid,tfopwg_disp,sectors,pl_orbper,pl_trandep,pl_rade
1170.01,294176967,FP,,1.8296155,1406.0,29.3616
1171.01,101929303,FP,,11.1876137,4924.0,31.8624
1230.01,287156968,CP,,25.0571312,533.486013,3.2396838
1231.01,447061717,CP,,24.2454967,6260.6703602,3.878568
1232.01,364395234,CP,,14.2545623,7899.6939555,10.7048234
1233.01,260647166,CP,,14.1758947,907.1324529,2.6231641
1233.02,260647166,CP,,19.5901578,1182.6678641,3.0026428
1233.03,260647166,CP,,6.2036219,548.9044399,2.056748
1233.04,260647166,CP,,3.79589,317.5272928,1.553135
1234.01,90504905,FP,,2.2645386,15019.9420903,5.1936764
1235.01,103633434,CP,,3.4447015,796.0,2.00495
1236.01,120757718,KP,,3.0300715,21794.6136956,12.7529892
1237.01,120960812,KP,,12.72038,1070.0,4.96046
1237.02,120960812,KP,,6.238755,373.5681138,2.9728283
1238.01,153951307,CP,,3.2947689,1324.0402774,2.5248559
1238.02,153951307,CP,,0.7645807,394.9832006,1.2407226
1239.01,154716798,PC,,12.6396982,3292.6812864,4.6025162
124.01,29831208,APC,,1.8428078,1950.0,21.2705
1205.01,287776397,PC,,2.3922703,63.575141,3.5905923
1206.01,308034948,FP,,0.831542,248.969585,1.881684
1207.01,364393429,PC,,2.6282553,75.2858004,0.9817044
1208.01,273985865,PC,,3.4239436,443.6391381,1.7581475
1208.02,273985865,PC,,10.983042,725.1724567,2.5070075
1208.03,273985865,PC,,17.726449,747.7725499,2.261664
1209.01,30037565,PC,,40.7199388,355.619391,3.2352713
121.01,207081058,APC,,14.7741056,15041.0,15.3936
1210.01,33878688,FP,,79.3739596,1227.0,2.17454
1211.01,50312495,PC,,18.1663644,624.0,2.80447
1212.01,389924075,PC,,105.5850893,462.9116325,2.5033335
1213.01,399144800,FP,,27.2149622,4731.4046225,8.3475973
1214.01,451606970,PC,,19.1807264,544.5602695,2.4311768
1215.01,453260209,PC,,1.2124493,501.2911711,0.879419
1216.01,141527965,PC,,4.5541831,187.8286128,0.8887417
1217.01,248092710,PC,,41.4856125,959.7522291,12.5121956
1218.01,294781547,PC,,13.7739339,338.2166234,1.8971927
1219.01,294981566,PC,,1.9142544,248.0,2.04421
122.01,231702397,CP,,5.0780325,5923.1283069,2.6347763
1220.01,319259194,APC,,70.3607265,1353.9678246,8.2807306
1221.01,349095149,CP,,91.6827832,713.2183569,3.239855
1222.01,374997123,PC,,10.1944993,317.3261147,2.7392825
1223.01,382437043,FP,,14.64319,242.7923919,3.41248
1224.01,299798795,CP,,4.1782656,2537.6781602,2.1023854
1224.02,299798795,CP,,17.9453645,5480.684864,3.3839124
1225.01,150428703,PC,,13.896396,748.5332881,2.4586343
1225.02,150428703,PC,,8.1213102,594.6443745,2.3157186
1226.01,177115354,PC,,3.9287851,485.9762569,2.329279
1227.01,360156606,CP,,27.3613778,20690.6684294,6.4522449
1228.01,300038935,CP,,29.0496801,297.0644469,2.9482177
1229.01,140760434,APC,,31.8132264,11479.375547,21.6314984
123.01,290131778,CP,,3.3088922,4736.0,24.9862
1262.01,365938305,PC,,20.8774413,771.0,2.16145
1263.01,406672232,PC,,1.0214555,319.0,1.46266
1264.01,416195870,PC,,2.7441672,5650.0,7.84317
1265.01,424865156,KP,,2.2047452,6872.0,17.9781
1266.01,467179528,CP,,10.8948421,3168.3853584,2.4691414
1266.02,467179528,CP,,18.8016111,1686.7881033,1.9112282
1267.01,158561566,KP,,6.7900981,2158.1733568,9.7548481
1268.01,142394656,CP,,8.157721,10273.0,9.31888
1269.01,198241702,CP,,4.2529641,758.584999,2.3483383
1269.02,198241702,PC,,9.2378703,660.0,2.22995
127.01,234523599,CP,,3.7955178,52278.9940979,10.3261619
1270.01,237200747,FP,,14.3034613,48840.0,18.4949
1271.01,286923464,KP,,6.1349783,3860.0,13.1383
1272.01,417948359,CP,,3.3159772,2770.0,4.5947
1273.01,445859771,CP,,4.6313014,4860.0,9.34848
1274.01,459969957,PC,,19.3203478,13910.0,9.38964
1275.01,13499636,FA,,11.3246821,1937.5829721,4.2917226
1276.01,43064903,FA,,6.261169,4005.022808,1.3468319
1277.01,153949511,FA,,,1405.9675071,3.2287724
1277.02,153949511,PC,,14.8559691,1127.0,2.72638
1278.01,163539739,CP,,14.4751062,9618.5798534,8.6976173
1279.01,224297258,CP,,9.6141636,933.6532689,3.2264735
128.01,391949880,CP,,4.9404714,455.0,2.3216
1280.01,230017324,PC,,9.6926392,1838.2370548,3.289074
1281.01,232971294,PC,,6.390888,435.0,2.47201
1282.01,236445129,KP,,0.9689927,13532.9710157,17.1331258
1283.01,266593143,KP,,10.338505,18162.0,11.8729
1284.01,267561446,FP,,1.283251,1961.318203,2.558112
1285.01,274662200,FP,,1.2284388,1229.4965125,1.866263
1286.01,277507814,APC,,0.6166953,1089.0,10.4852
1287.01,352764091,PC,,9.6001126,380.4193796,2.4070295
1288.01,365733349,CP,,2.6998294,2798.0,4.94551
1289.01,408203470,FP,,0.581322,3206.6010016,2.2014886
1240.01,158170594,KP,,1.7208555,10014.2587401,13.4646314
1241.01,159107668,PC,,4.7802597,1015.4550043,7.6126429
1242.01,198212955,PC,,0.3814849,570.0,2.0605
1243.01,219698776,CP,,4.6595169,1725.1706259,2.1961507
1244.01,219850915,CP,,6.4002807,1026.6018729,2.2730301
1245.01,229781583,PC,,4.8204512,1930.0,2.36747
1246.01,230127302,CP,,18.6548829,1495.4449473,4.3869878
1246.02,230127302,CP,,4.3074513,1094.8419495,3.2819879
1246.03,230127302,CP,,5.9041278,773.9266468,2.4489454
1246.04,230127302,CP,,37.9251983,1370.7888539,3.241643
1247.01,232540264,CP,,15.9234883,493.0,2.18203
1248.01,232612416,CP,,4.3601536,5592.2909183,6.9564258
1249.01,232976128,CP,,13.0791581,1143.0,3.25485
125.01,52368076,CP,,4.6517186,978.0,2.66889
125.02,52368076,CP,,9.1549418,1101.0,2.62011
125.03,52368076,CP,,19.9815709,909.0,2.54717
125.04,52368076,PC,,,738.7670156,2.9700035
1250.01,233059608,FA,,1.4415044,547.3172736,3.8345209
1251.01,233120979,APC,,5.9630544,11000.0,10.0859
1252.01,233211762,PC,,1.1219715,3997.6445916,3.9968417
1253.01,233684822,FP,,4.6756655,738.0,4.03134
1254.01,236714379,APC,,1.0180114,2618.9492168,6.5875997
1255.01,237222864,CP,,10.288886,854.0,2.63881
1256.01,274762761,FP,,1.0332441,26111.5081972,4.087988
1257.01,278348461,KP,,5.4526479,7750.0,14.5502
1258.01,288132261,PC,,10.2613397,726.0,3.60391
1259.01,288735205,CP,,3.4779776,27021.6932424,12.5541925
126.01,70440470,KP,,3.0354017,16196.2158157,14.1334903
1260.01,355867695,CP,,3.1274634,1331.83693,2.5802896
1260.02,355867695,CP,,7.4931613,1650.6470497,2.7733674
1260.03,355867695,CP,,49.825166,2059.4069037,3.8319135
1261.01,356311210,PC,,18.0574016,1198.0572128,3.8092663
1322.01,240450679,APC,,3.37644,5791.2,
1323.01,256886630,FP,,2.03905,430.0,6.42307
1324.01,266688542,FP,,2.9424142,1400.0,9.70968
1325.01,274942910,FP,,1.0793011,1562.0,3.31116
1326.01,275111900,FP,,8.0428575,18730.0,
1327.01,312083267,APC,,3.9392211,1468.0,27.6744
1328.01,330332501,FP,,4.0157492,1150.0,6.47219
1329.01,345996087,FP,,2.01976,3963.85,7.3626
133.01,219338557,PC,,8.1995368,903.3694431,1.9226211
1330.01,357457104,FP,,1.748054,670.0,
1331.01,387664866,FP,,2.65646,773.369,12.1711
1332.01,387664868,FP,,2.65688,1959.88,
1333.01,395171208,CP,,4.7201912,6710.0,15.2105
1334.01,42123111,FP,,4.03349,1530.0,23.4514
1335.01,89759617,FP,,3.3295394,2620.0,14.3988
1336.01,92783821,FP,,3.8615978,1020.0,13.8394
1337.01,160708862,KP,,3.3448312,13626.0,21.2012
1338.01,260128333,CP,,95.174,2600.061605,7.8498891
1339.01,269701147,CP,,8.8803281,1238.0,3.20594
1339.02,269701147,CP,,28.580474,1081.396943,3.1455035
1339.03,269701147,CP,,38.3511223,1029.0917261,3.2843583
134.01,234994474,CP,,1.4015183,593.7540922,1.4616853
1340.01,233681149,FP,,8.5874668,1904.8131484,5.3744721
1341.01,233390838,FP,,6.4474918,9270.0,48.9878
1342.01,256621916,FP,,1.4136455,2427.0,
1343.01,358631536,FP,,3.4040139,935.0,5.34279
1344.01,1400770435,FP,,13.7432169,5046.0,25.7481
1345.01,160487753,PC,,8.47134,540.0,16.9325
1346.01,219852882,CP,,5.5025577,844.7022676,2.7049797
1346.02,219852882,CP,,1.7622537,733.5550822,2.5235818
1347.01,229747848,CP,,0.8474218,424.3932848,1.7536544
1347.02,229747848,CP,,4.8420438,318.6638392,1.6177405
1348.01,229770036,FP,,2.14056,355.8315803,1.83828
1349.01,272635712,APC,,12.71672,388.126,2.7546
135.01,267263253,CP,,4.1269046,10831.0,17.0952
1350.01,233953967,PC,,5.5402372,2710.0,17.4013
129.01,201248411,CP,,0.980972,6178.392421,5.9162923
1290.01,417676622,KP,,5.3987355,352.0,2.25345
1291.01,198186769,PC,,7.16199,800.0,5.05452
1292.01,199688472,FP,,1.4412175,12927.0,17.0442
1293.01,202504234,PC,,1.6849938,990.0,3.76716
1294.01,219015370,CP,,3.9152737,3350.0,9.43435
1295.01,219852584,CP,,3.1968838,7958.980656,14.9685779
1296.01,219854185,CP,,3.9443668,6732.488454,14.5727196
1297.01,229536616,FP,,3.93034,9724.58,14.8838
1298.01,237104103,CP,,4.5371361,4199.7558754,9.8153513
1299.01,258777134,FP,,5.929405,16410.0,
130.01,263003176,CP,,14.3392144,392.6346872,2.2963233
1300.01,293687315,KP,,2.8716983,8568.0,18.1267
1301.01,356867115,CP,,6.0964074,1142.4891745,2.5856853
