TIC,m_TIC,RAJ2000,DEJ2000,pmRA,pmDE,Tmag,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,TESSebs,Simbad
364200513,1,239.0234491347,-36.8928720674,-18.683,-26.652,8.568,1630.862188,0.004712573,7.671829,0.0048291509,0.313,0.033,0.002,0.9999,,,,0.04281,0.002,0.0005231,,,,TESSebs,Simbad
150031040,1,91.1343423974,-62.5144336323,20.653,-18.585,11.205,1637.189019,2.936542,9.7627033,0.012534373,0.256,,,1.068,,,0.994,,,,,,,TESSebs,Simbad
233558430,1,250.5832062752,-46.6472757994,-22.668,-27.64,8.933,1634.776856,0.004737427,7.3221517,0.0049301878,0.241,0.027,0.002,0.9999,,,,0.04166,0.003,0.001059,,,,TESSebs,Simbad
399822840,1,286.6660199564,53.3838432577,34.031,-31.416,9.639,1684.009082,0.002671656,1.0025595,1.4173458e-05,0.579,,,,,,,0.2047,0.001,0.9851,,,,TESSebs,Simbad
198181552,1,244.7927634831,60.3048858042,-7.418,21.698,8.569,1931.211715,0.002448285,2.8224469,2.9885617e-05,0.338,0.026,0.001,0.5059,,,,0.0425,0.001,0.5057,0.043,0.0,0.003749,TESSebs,Simbad
170255099,1,298.1379196087,41.3343619954,-8.061,-6.487,11.173,1711.681427,0.179054,1.3032304,0.00058839854,0.466,0.087,0.002,0.9866,,,,0.1623,0.007,0.9917,,,,TESSebs,Simbad
137516558,1,318.4145600005,41.9856085264,-11.051,-38.819,12.139,1713.656532,0.004567903,3.8822389,0.00044590874,0.291,0.043,0.006,1.001,,,,0.06258,0.009,0.001623,,,,TESSebs,Simbad
352915304,1,313.7956200408,62.7753452334,64.9,151.99,10.946,1711.03905,0.0002227002,3.4938605,1.9558479e-05,0.318,0.102,0.002,1.002,,,,,,,,,,TESSebs,Simbad
359042174,1,1.3497538118,63.7891267407,-1.563,-1.363,9.523,1765.707027,0.02773943,3.3954348,0.0014666881,0.509,0.07,0.0,0.9893,,,,0.1417,0.001,0.9991,,,,TESSebs,Simbad
177417406,1,358.2577211347,47.1574467492,-7.4,-4.7,9.127,1765.983679,0.001670554,1.9575805,0.0002296799,0.583,0.082,0.002,0.9766,,,,0.2072,0.004,0.99,,,,TESSebs,Simbad
345324572,1,355.4769304622,59.8767289198,-40.681,23.609,12.302,1768.749607,0.01680451,5.1572434,0.024338139,0.381,0.05,0.042,1.017,,,,0.09713,0.019,0.3253,,,,TESSebs,Simbad
335995445,1,333.3562426091,62.5344312623,6.428,11.331,10.748,1740.041424,0.003198377,4.1735463,5.9789843e-05,0.341,0.047,0.003,1.007,,,,0.07266,0.004,0.006125,,,,TESSebs,Simbad
26993764,1,356.2361783764,50.1110382231,8.834,19.094,9.245,1764.593223,0.001553123,1.8842931,0.00014729756,0.394,0.052,0.004,0.9989,,,,0.06667,0.005,0.9996,,,,TESSebs,Simbad
461318755,1,2.2286323593,71.7661073092,-92.204,-27.385,13.036,1791.054119,0.005308665,1.1404707,0.00046315367,0.473,0.143,0.008,0.9963,,,,0.272,0.013,0.001804,,,,TESSebs,Simbad
